Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,INTC,NFLX,NVDA,TSLA,AAPL,INTC,NFLX,NVDA,TSLA,AAPL,INTC,NFLX,NVDA,TSLA,AAPL,INTC,NFLX,NVDA,TSLA,AAPL,INTC,NFLX,NVDA,TSLA,AAPL,INTC,NFLX,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.304176330566406,39.33039093017578,20.10700035095215,4.928532600402832,21.368667602539062,43.064998626708984,46.849998474121094,20.10700035095215,4.983749866485596,21.368667602539062,43.07500076293945,46.900001525878906,20.165000915527344,4.987500190734863,21.474000930786133,42.314998626708984,46.209999084472656,19.54199981689453,4.862500190734863,20.733333587646484,42.540000915527344,46.380001068115234,19.610000610351562,4.894499778747559,20.799999237060547,102223600,23370800,109669000,355616000,65283000
2018-01-03,40.29715347290039,37.995582580566406,20.5049991607666,5.252899646759033,21.149999618530273,43.057498931884766,45.2599983215332,20.5049991607666,5.3117499351501465,21.149999618530273,43.63750076293945,46.209999084472656,20.621000289916992,5.34250020980835,21.683332443237305,42.9900016784668,43.650001525878906,20.149999618530273,5.09375,21.036666870117188,43.13249969482422,45.470001220703125,20.204999923706055,5.102499961853027,21.399999618530273,118071600,116479000,85914000,914704000,67822500
2018-01-04,40.484336853027344,37.29880142211914,20.562999725341797,5.2805891036987305,20.974666595458984,43.25749969482422,44.43000030517578,20.562999725341797,5.339749813079834,20.974666595458984,43.36750030517578,44.650001525878906,20.704999923706055,5.451250076293945,21.23666763305664,43.02000045776367,42.689998626708984,20.399999618530273,5.317249774932861,20.3786678314209,43.1349983215332,43.52000045776367,20.6200008392334,5.394000053405762,20.857999801635742,89738400,89209100,60296000,583268000,149194500
2018-01-05,40.94527053833008,37.559051513671875,20.999000549316406,5.325338363647461,21.10533332824707,43.75,44.7400016784668,20.999000549316406,5.385000228881836,21.10533332824707,43.842498779296875,45.150001525878906,21.00200080871582,5.422749996185303,21.14933204650879,43.26250076293945,43.900001525878906,20.55900001525879,5.2769999504089355,20.799999237060547,43.36000061035156,44.43000030517578,20.725000381469727,5.354750156402588,21.107999801635742,94640000,41824000,70332000,580124000,68868000
2018-01-08,40.79318618774414,37.559051513671875,21.204999923706055,5.488508701324463,22.42733383178711,43.587501525878906,44.7400016784668,21.204999923706055,5.550000190734863,22.42733383178711,43.90250015258789,44.84000015258789,21.25,5.625,22.468000411987305,43.48249816894531,43.959999084472656,20.8439998626709,5.4644999504089355,21.03333282470703,43.587501525878906,44.27000045776367,21.00200080871582,5.510000228881836,21.066667556762695,82271200,33733800,55802000,881216000,147891000
2018-01-09,40.78850555419922,36.61880874633789,20.930999755859375,5.487026214599609,22.246000289916992,43.58250045776367,43.619998931884766,20.930999755859375,5.548500061035156,22.246000289916992,43.76499938964844,44.84000015258789,21.29800033569336,5.5954999923706055,22.586666107177734,43.352500915527344,43.4900016784668,20.858999252319336,5.466000080108643,21.82666778564453,43.63750076293945,44.70000076293945,21.211000442504883,5.555500030517578,22.3439998626709,86336000,44282300,61259000,497000000,107199000
2018-01-10,40.779136657714844,35.67857360839844,21.25200080871582,5.530043601989746,22.31999969482422,43.5724983215332,42.5,21.25200080871582,5.5920000076293945,22.31999969482422,43.57500076293945,43.599998474121094,21.36400032043457,5.5954999923706055,22.46666717529297,43.25,42.439998626708984,20.69099998474121,5.400000095367432,22.0,43.290000915527344,43.33000183105469,20.756999969482422,5.454999923706055,22.14666748046875,95839600,45735000,59515000,582664000,64648500
2018-01-11,41.010765075683594,36.44252395629883,21.724000930786133,5.5399346351623535,22.530000686645508,43.81999969482422,43.40999984741211,21.724000930786133,5.6020002365112305,22.530000686645508,43.872501373291016,43.58000183105469,21.774999618530273,5.656750202178955,22.987333297729492,43.622501373291016,42.45000076293945,21.334999084472656,5.580249786376953,22.21733283996582,43.647499084472656,42.79999923706055,21.429000854492188,5.625,22.349332809448242,74670800,35371500,76595000,406032000,99682500
